zip_area,zip_lat,zip_long,lat_mean,long_mean,lat_max,lat_min,long_max,long_min,dens,approx_zips,number_of_panels_north,number_of_panels_south,number_of_panels_east,number_of_panels_west,number_of_panels_flat,number_of_panels_total,potential_kwh_total,state_size,state_lat,state_long,is_usa
0.10216303252935993,38.91,-76.98,38.9080922,-76.98295955,38.926739,38.8894454,-76.9539595,-77.0119596,3379754.80417313,20,1716,12134,10013,9419,312004,345286.0,105533620.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.1011769020723601,38.88,-76.99,38.8778923,-76.99184840000001,38.8917474,38.8640372,-76.9706125,-77.0130843,1252865.0057830645,20,1545,9431,6547,8383,100855,126761.0,38472980.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10071185812779998,38.91,-77.02,38.9100945,-77.01859225000001,38.9291075,38.8910815,-77.0092321,-77.0279524,1602750.6889523228,20,2567,8574,7342,8923,134010,161416.0,48795999.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10031388290426006,38.93,-77.03,38.9330202,-77.03020045,38.9377033,38.9283371,-77.0134443,-77.0469566,1079242.4424775443,20,2880,6956,4178,3990,90259,108263.0,32851712.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10215495410608,38.95,-77.02,38.951105999999996,-77.017962,38.9694168,38.9327952,-76.9885401,-77.0473839,3448467.1162808863,20,10875,51819,25019,27100,237465,352278.0,106999386.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10039344265473998,38.92,-77.04,38.9194917,-77.03788175,38.9286894,38.910294,-77.0271877,-77.0485758,1634409.5357332875,20,2227,9370,4379,5696,142412,164084.0,49663433.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10132353962314984,38.91,-77.08,38.913988450000005,-77.07671385,38.9274227,38.9005542,-77.0520839,-77.1013438,1949043.6352154436,20,3284,34930,11035,18425,129810,197484.0,59647464.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10100350189796992,38.94,-76.99,38.938306049999994,-76.99518735,38.9535814,38.9230307,-76.9787638,-77.0116109,1621636.843497325,20,2663,27984,17982,23912,91250,163791.0,49563170.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.1015555482584201,39.76,-75.53,39.75662655,-75.5291014,39.7745856,39.7386675,-75.5074473,-75.5507555,3030420.3490377353,19,10017,35629,25799,28338,207973,307756.0,92278165.0,1.0651584389188316,39.32571428571429,-75.53081632653061,1
0.10213852450719989,39.74,-75.59,39.7429421,-75.5917,39.7595337,39.7263505,-75.559477,-75.623923,3892282.5830715424,19,11474,71162,54249,46629,214038,397552.0,118539404.0,1.0651584389188316,39.32571428571429,-75.53081632653061,1
0.10073955984472013,39.76,-75.56,39.76055905,-75.5645306,39.7744276,39.7466905,-75.551199,-75.5778622,937625.696852303,19,3147,13201,12099,7662,58347,94456.0,27866596.0,1.0651584389188316,39.32571428571429,-75.53081632653061,1
0.21915124570857808,45.03,-110.7,45.0667533,-110.41161695,45.141131,44.9923756,-110.0111231,-110.8121108,54930.10072143434,59,872,3735,1843,1747,3841,12038.0,3674659.0,8.822863055720632,46.92656790123457,-110.29743209876543,1
0.11829849958626057,41.48,-71.36,41.54530615,-71.3517787,41.6412563,41.449356,-71.3041016,-71.3994558,64464.04668420409,28,187,2685,2535,1661,558,7626.0,2176464.0,0.6225451790834181,41.70208791208792,-71.4998901098901,1
0.10042185021533996,43.06,-70.72,43.065463750000006,-70.7225095,43.0730646,43.0578629,-70.7086344,-70.7363846,82561.71323493008,38,155,3857,1914,1396,969,8291.0,2361709.0,1.7517437740719957,43.38366197183098,-71.56154929577465,1
0.10120615342044009,38.97,-77.06,38.9703389,-77.06969409999999,38.984944,38.9557338,-77.049048,-77.0903402,1126828.716888745,20,1949,42813,11286,15940,42054,114042.0,34035297.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10738282154775933,38.94,-77.09,38.9223226,-77.06160489999999,38.9568832,38.887762,-77.0082,-77.1150098,2354352.366198142,20,4195,77292,25354,33549,112427,252817.0,76449822.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.1014331334642003,38.93,-76.97,38.930451700000006,-76.97246665,38.9454903,38.9154131,-76.9486424,-76.9962909,3146831.7018191656,20,4722,38811,17368,27097,231195,319193.0,97883455.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10285751067100012,38.89,-76.94,38.891244,-76.94005204999999,38.914789,38.867699,-76.9097111,-76.970393,3830464.0801605848,20,13373,68601,40893,48793,222332,393992.0,119718449.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10525585054507024,38.86,-76.98,38.88381685,-76.97322975,38.9243323,38.8433014,-76.9407986,-77.0056609,2975454.555525116,20,14601,64645,34306,34999,164633,313184.0,95328748.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.10034249418031997,38.9,-77.06,38.892173850000006,-77.05172959999999,38.9095403,38.8748074,-77.0467992,-77.05666,384662.5531416197,20,203,628,305,460,37002,38598.0,11547513.0,0.11858541225631761,38.89243243243243,-77.02810810810811,1
0.12167869844815281,48.78,-113.37,48.86884885,-113.39902525,48.9969946,48.7407031,-113.3567322,-113.4413183,14513.633220300191,59,105,396,344,399,522,1766.0,486746.0,8.822863055720632,46.92656790123457,-110.29743209876543,1
0.10002605434085,42.84,-106.37,42.84345105,-106.37158865,42.8452813,42.8416208,-106.3680298,-106.3751475,46817.801930306596,82,156,1118,869,413,2127,4683.0,1539758.0,5.406267196504444,42.85410256410256,-107.2897435897436,1
