lat_max,lat_min,long_max,long_min,number_of_panels_north,number_of_panels_south,number_of_panels_east,number_of_panels_west,number_of_panels_flat,number_of_panels_total,lat_mean,long_mean,zip_area,dens,approx_zips,is_usa,zip_lat,zip_long,state_size,state_lat,state_long,potential_kwh_total
38.926739,38.8894454,-38.47697975,-38.5059798,5.148,6.067,10.013,6.5933,93.60119999999999,34.528600000000004,38.9080922,-38.491479775,51.08151626467997,33.797548041731304,20,50,38.91,-38.49,1.185854122563176,38.89243243243243,-38.51405405405406,52.76681
38.8917474,38.8640372,-38.48530625,-38.50654215,4.635,4.7155000000000005,6.547,5.8681,30.2565,12.6761,38.8778923,-38.495924200000005,50.588451036180054,12.528650057830646,20,50,38.88,-38.495,1.185854122563176,38.89243243243243,-38.51405405405406,19.23649
38.9291075,38.8910815,-38.50461605,-38.5139762,7.7010000000000005,4.287,7.3420000000000005,6.2461,40.202999999999996,16.1416,38.9100945,-38.509296125000006,50.35592906389999,16.02750688952323,20,50,38.91,-38.51,1.185854122563176,38.89243243243243,-38.51405405405406,24.397999499999997
38.9377033,38.9283371,-38.50672215,-38.5234783,8.64,3.478,4.178,2.793,27.077699999999997,10.8263,38.9330202,-38.515100225,50.156941452130035,10.792424424775444,20,50,38.93,-38.515,1.185854122563176,38.89243243243243,-38.51405405405406,16.425856
38.9694168,38.9327952,-38.49427005,-38.52369195,32.625,25.9095,25.019000000000002,18.97,71.23949999999999,35.2278,38.951105999999996,-38.508981,51.07747705304,34.484671162808866,20,50,38.95,-38.51,1.185854122563176,38.89243243243243,-38.51405405405406,53.499693
38.9286894,38.910294,-38.51359385,-38.5242879,6.681,4.6850000000000005,4.3790000000000004,3.9872,42.7236,16.4084,38.9194917,-38.518940875,50.19672132736999,16.344095357332876,20,50,38.92,-38.52,1.185854122563176,38.89243243243243,-38.51405405405406,24.8317165
38.9274227,38.9005542,-38.52604195,-38.5506719,9.852,17.465,11.035,12.897499999999999,38.943,19.7484,38.913988450000005,-38.538356925,50.66176981157492,19.490436352154436,20,50,38.91,-38.54,1.185854122563176,38.89243243243243,-38.51405405405406,29.823732
38.9535814,38.9230307,-38.4893819,-38.50580545,7.989,13.992,17.982,16.7384,27.374999999999996,16.3791,38.938306049999994,-38.497593675,50.501750948984956,16.21636843497325,20,50,38.94,-38.495,1.185854122563176,38.89243243243243,-38.51405405405406,24.781585
39.7745856,39.7386675,-37.75372365,-37.77537775,30.051000000000002,17.8145,25.799,19.8366,62.39189999999999,30.7756,39.75662655,-37.7645507,50.77777412921005,30.304203490377354,19,50,39.76,-37.765,10.651584389188315,39.32571428571429,-37.765408163265306,46.1390825
39.7595337,39.7263505,-37.7797385,-37.8119615,34.422000000000004,35.581,54.249,32.640299999999996,64.2114,39.7552,39.7429421,-37.79585,51.069262253599945,38.922825830715425,19,50,39.74,-37.795,10.651584389188315,39.32571428571429,-37.765408163265306,59.269701999999995
39.7744276,39.7466905,-37.7755995,-37.7889311,9.441,6.6005,12.099,5.3634,17.504099999999998,9.4456,39.76055905,-37.7822653,50.36977992236007,9.37625696852303,19,50,39.76,-37.78,10.651584389188315,39.32571428571429,-37.765408163265306,13.933297999999999
45.141131,44.9923756,-55.00556155,-55.4060554,2.616,1.8675,1.843,1.2229,1.1522999999999999,1.2038,45.0667533,-55.205808475,109.57562285428904,0.5493010072143435,59,50,45.03,-55.35,88.22863055720632,46.92656790123457,-55.14871604938271,1.8373294999999998
